"subject"	"activity"	"domain"	"sensed"	"direction"	"mean"
"1"	"LAYING"	"time"	"BodyAcc"	"Mag"	-0.8419291525
"1"	"LAYING"	"time"	"BodyAcc"	"X"	0.22159824394
"1"	"LAYING"	"time"	"BodyAcc"	"Y"	-0.0405139534294
"1"	"LAYING"	"time"	"BodyAcc"	"Z"	-0.11320355358
"1"	"LAYING"	"time"	"BodyAccJerk"	"Mag"	-0.9543962646
"1"	"LAYING"	"time"	"BodyAccJerk"	"X"	0.0810865342
"1"	"LAYING"	"time"	"BodyAccJerk"	"Y"	0.0038382040088
"1"	"LAYING"	"time"	"BodyAccJerk"	"Z"	0.010834236361
"1"	"LAYING"	"time"	"BodyGyro"	"Mag"	-0.874759548
"1"	"LAYING"	"time"	"BodyGyro"	"X"	-0.016553093978
"1"	"LAYING"	"time"	"BodyGyro"	"Y"	-0.064486124088
"1"	"LAYING"	"time"	"BodyGyro"	"Z"	0.14868943626
"1"	"LAYING"	"time"	"BodyGyroJerk"	"Mag"	-0.96346103
"1"	"LAYING"	"time"	"BodyGyroJerk"	"X"	-0.107270949192
"1"	"LAYING"	"time"	"BodyGyroJerk"	"Y"	-0.04151728689
"1"	"LAYING"	"time"	"BodyGyroJerk"	"Z"	-0.0740501211
"1"	"LAYING"	"time"	"GravityAcc"	"Mag"	-0.8419291525
"1"	"LAYING"	"time"	"GravityAcc"	"X"	-0.24888179828
"1"	"LAYING"	"time"	"GravityAcc"	"Y"	0.70554977346
"1"	"LAYING"	"time"	"GravityAcc"	"Z"	0.4458177198
"1"	"LAYING"	"freq"	"BodyAcc"	"Mag"	-0.8617676481
"1"	"LAYING"	"freq"	"BodyAcc"	"X"	-0.9390990524
"1"	"LAYING"	"freq"	"BodyAcc"	"Y"	-0.86706520518
"1"	"LAYING"	"freq"	"BodyAcc"	"Z"	-0.8826668762
"1"	"LAYING"	"freq"	"BodyAccJerk"	"Mag"	-0.9333003608
"1"	"LAYING"	"freq"	"BodyAccJerk"	"X"	-0.9570738838
"1"	"LAYING"	"freq"	"BodyAccJerk"	"Y"	-0.9224626098
"1"	"LAYING"	"freq"	"BodyAccJerk"	"Z"	-0.9480609042
"1"	"LAYING"	"freq"	"BodyGyro"	"Mag"	-0.8621901854
"1"	"LAYING"	"freq"	"BodyGyro"	"X"	-0.850249174586
"1"	"LAYING"	"freq"	"BodyGyro"	"Y"	-0.9521914948
"1"	"LAYING"	"freq"	"BodyGyro"	"Z"	-0.909302721
"1"	"LAYING"	"freq"	"BodyGyroJerk"	"Mag"	-0.9423669466
"1"	"SITTING"	"time"	"BodyAcc"	"Mag"	-0.948536786170213
"1"	"SITTING"	"time"	"BodyAcc"	"X"	0.261237565425532
"1"	"SITTING"	"time"	"BodyAcc"	"Y"	-0.00130828765170213
"1"	"SITTING"	"time"	"BodyAcc"	"Z"	-0.104544182255319
"1"	"SITTING"	"time"	"BodyAccJerk"	"Mag"	-0.987364195531915
"1"	"SITTING"	"time"	"BodyAccJerk"	"X"	0.0774825199574468
"1"	"SITTING"	"time"	"BodyAccJerk"	"Y"	-0.000619102785106384
"1"	"SITTING"	"time"	"BodyAccJerk"	"Z"	-0.00336779235021277
"1"	"SITTING"	"time"	"BodyGyro"	"Mag"	-0.93089249
"1"	"SITTING"	"time"	"BodyGyro"	"X"	-0.045350056512766
"1"	"SITTING"	"time"	"BodyGyro"	"Y"	-0.0919241549361702
"1"	"SITTING"	"time"	"BodyGyro"	"Z"	0.0629313811914894
"1"	"SITTING"	"time"	"BodyGyroJerk"	"Mag"	-0.991976341276596
"1"	"SITTING"	"time"	"BodyGyroJerk"	"X"	-0.0936793807234043
"1"	"SITTING"	"time"	"BodyGyroJerk"	"Y"	-0.0402118124255319
"1"	"SITTING"	"time"	"BodyGyroJerk"	"Z"	-0.046702627
"1"	"SITTING"	"time"	"GravityAcc"	"Mag"	-0.948536786170213
"1"	"SITTING"	"time"	"GravityAcc"	"X"	0.831509933404255
"1"	"SITTING"	"time"	"GravityAcc"	"Y"	0.204411592680851
"1"	"SITTING"	"time"	"GravityAcc"	"Z"	0.332043702765957
"1"	"SITTING"	"freq"	"BodyAcc"	"Mag"	-0.947782922553192
"1"	"SITTING"	"freq"	"BodyAcc"	"X"	-0.979641238723404
"1"	"SITTING"	"freq"	"BodyAcc"	"Y"	-0.944084550425532
"1"	"SITTING"	"freq"	"BodyAcc"	"Z"	-0.959184889148936
"1"	"SITTING"	"freq"	"BodyAccJerk"	"Mag"	-0.985262126808511
"1"	"SITTING"	"freq"	"BodyAccJerk"	"X"	-0.986597022553191
"1"	"SITTING"	"freq"	"BodyAccJerk"	"Y"	-0.981579467021277
"1"	"SITTING"	"freq"	"BodyAccJerk"	"Z"	-0.986053092340425
"1"	"SITTING"	"freq"	"BodyGyro"	"Mag"	-0.958435589361702
"1"	"SITTING"	"freq"	"BodyGyro"	"X"	-0.976161464042553
"1"	"SITTING"	"freq"	"BodyGyro"	"Y"	-0.975838585319149
"1"	"SITTING"	"freq"	"BodyGyro"	"Z"	-0.951315544468085
"1"	"SITTING"	"freq"	"BodyGyroJerk"	"Mag"	-0.989797547234043
"1"	"STANDING"	"time"	"BodyAcc"	"Mag"	-0.984278207358491
"1"	"STANDING"	"time"	"BodyAcc"	"X"	0.278917629056604
"1"	"STANDING"	"time"	"BodyAcc"	"Y"	-0.0161375901037736
"1"	"STANDING"	"time"	"BodyAcc"	"Z"	-0.110601817735849
"1"	"STANDING"	"time"	"BodyAccJerk"	"Mag"	-0.992367790566038
"1"	"STANDING"	"time"	"BodyAccJerk"	"X"	0.0753766542264151
"1"	"STANDING"	"time"	"BodyAccJerk"	"Y"	0.00797573092830189
"1"	"STANDING"	"time"	"BodyAccJerk"	"Z"	-0.00368524954709434
"1"	"STANDING"	"time"	"BodyGyro"	"Mag"	-0.976493792830189
"1"	"STANDING"	"time"	"BodyGyro"	"X"	-0.0239877347979245
"1"	"STANDING"	"time"	"BodyGyro"	"Y"	-0.0593972209811321
"1"	"STANDING"	"time"	"BodyGyro"	"Z"	0.074800751
"1"	"STANDING"	"time"	"BodyGyroJerk"	"Mag"	-0.994966790566038
"1"	"STANDING"	"time"	"BodyGyroJerk"	"X"	-0.0996092129056604
"1"	"STANDING"	"time"	"BodyGyroJerk"	"Y"	-0.0440627877924528
"1"	"STANDING"	"time"	"BodyGyroJerk"	"Z"	-0.0489505466716981
"1"	"STANDING"	"time"	"GravityAcc"	"Mag"	-0.984278207358491
"1"	"STANDING"	"time"	"GravityAcc"	"X"	0.942952000377358
"1"	"STANDING"	"time"	"GravityAcc"	"Y"	-0.272983832264151
"1"	"STANDING"	"time"	"GravityAcc"	"Z"	0.0134905823226415
"1"	"STANDING"	"freq"	"BodyAcc"	"Mag"	-0.985356361132075
"1"	"STANDING"	"freq"	"BodyAcc"	"X"	-0.995249932641509
"1"	"STANDING"	"freq"	"BodyAcc"	"Y"	-0.977070847735849
"1"	"STANDING"	"freq"	"BodyAcc"	"Z"	-0.985297098679245
"1"	"STANDING"	"freq"	"BodyAccJerk"	"Mag"	-0.99254247754717
"1"	"STANDING"	"freq"	"BodyAccJerk"	"X"	-0.994630797358491
"1"	"STANDING"	"freq"	"BodyAccJerk"	"Y"	-0.985418704528302
"1"	"STANDING"	"freq"	"BodyAccJerk"	"Z"	-0.990752166037736
"1"	"STANDING"	"freq"	"BodyGyro"	"Mag"	-0.984617623396226
"1"	"STANDING"	"freq"	"BodyGyro"	"X"	-0.986386786037736
"1"	"STANDING"	"freq"	"BodyGyro"	"Y"	-0.988984455849057
"1"	"STANDING"	"freq"	"BodyGyro"	"Z"	-0.980773122830189
"1"	"STANDING"	"freq"	"BodyGyroJerk"	"Mag"	-0.994815376981132
"1"	"WALKING"	"time"	"BodyAcc"	"Mag"	-0.136971176556842
"1"	"WALKING"	"time"	"BodyAcc"	"X"	0.277330758736842
"1"	"WALKING"	"time"	"BodyAcc"	"Y"	-0.0173838185273684
"1"	"WALKING"	"time"	"BodyAcc"	"Z"	-0.111148103547368
"1"	"WALKING"	"time"	"BodyAccJerk"	"Mag"	-0.141428809031579
"1"	"WALKING"	"time"	"BodyAccJerk"	"X"	0.0740416333157895
"1"	"WALKING"	"time"	"BodyAccJerk"	"Y"	0.0282721095884211
"1"	"WALKING"	"time"	"BodyAccJerk"	"Z"	-0.00416840617789474
"1"	"WALKING"	"time"	"BodyGyro"	"Mag"	-0.160979552536842
"1"	"WALKING"	"time"	"BodyGyro"	"X"	-0.041830963526
"1"	"WALKING"	"time"	"BodyGyro"	"Y"	-0.0695300462115789
"1"	"WALKING"	"time"	"BodyGyro"	"Z"	0.0849448173042105
"1"	"WALKING"	"time"	"BodyGyroJerk"	"Mag"	-0.298703679084211
"1"	"WALKING"	"time"	"BodyGyroJerk"	"X"	-0.0899975423705263
"1"	"WALKING"	"time"	"BodyGyroJerk"	"Y"	-0.0398428709463158
"1"	"WALKING"	"time"	"BodyGyroJerk"	"Z"	-0.0461309295021053
"1"	"WALKING"	"time"	"GravityAcc"	"Mag"	-0.136971176556842
"1"	"WALKING"	"time"	"GravityAcc"	"X"	0.935223201473684
"1"	"WALKING"	"time"	"GravityAcc"	"Y"	-0.282165021263158
"1"	"WALKING"	"time"	"GravityAcc"	"Z"	-0.068102864
"1"	"WALKING"	"freq"	"BodyAcc"	"Mag"	-0.128623450629474
"1"	"WALKING"	"freq"	"BodyAcc"	"X"	-0.202794306326316
"1"	"WALKING"	"freq"	"BodyAcc"	"Y"	0.0897127264021053
"1"	"WALKING"	"freq"	"BodyAcc"	"Z"	-0.331560117789474
"1"	"WALKING"	"freq"	"BodyAccJerk"	"Mag"	-0.0571194000343158
"1"	"WALKING"	"freq"	"BodyAccJerk"	"X"	-0.170546964549579
"1"	"WALKING"	"freq"	"BodyAccJerk"	"Y"	-0.0352255241130632
"1"	"WALKING"	"freq"	"BodyAccJerk"	"Z"	-0.468999224631579
"1"	"WALKING"	"freq"	"BodyGyro"	"Mag"	-0.199252568986316
"1"	"WALKING"	"freq"	"BodyGyro"	"X"	-0.339032197115789
"1"	"WALKING"	"freq"	"BodyGyro"	"Y"	-0.103059416434737
"1"	"WALKING"	"freq"	"BodyGyro"	"Z"	-0.255940940315789
"1"	"WALKING"	"freq"	"BodyGyroJerk"	"Mag"	-0.319308593778947
"1"	"WALKING_DOWNSTAIRS"	"time"	"BodyAcc"	"Mag"	0.0271882914106122
"1"	"WALKING_DOWNSTAIRS"	"time"	"BodyAcc"	"X"	0.289188320408163
"1"	"WALKING_DOWNSTAIRS"	"time"	"BodyAcc"	"Y"	-0.00991850461020408
"1"	"WALKING_DOWNSTAIRS"	"time"	"BodyAcc"	"Z"	-0.107566190908163
"1"	"WALKING_DOWNSTAIRS"	"time"	"BodyAccJerk"	"Mag"	-0.0894474807979592
"1"	"WALKING_DOWNSTAIRS"	"time"	"BodyAccJerk"	"X"	0.0541553164897959
"1"	"WALKING_DOWNSTAIRS"	"time"	"BodyAccJerk"	"Y"	0.0296504490408163
"1"	"WALKING_DOWNSTAIRS"	"time"	"BodyAccJerk"	"Z"	-0.0109719730183673
"1"	"WALKING_DOWNSTAIRS"	"time"	"BodyGyro"	"Mag"	-0.0757412543673469
"1"	"WALKING_DOWNSTAIRS"	"time"	"BodyGyro"	"X"	-0.0350781902989796
"1"	"WALKING_DOWNSTAIRS"	"time"	"BodyGyro"	"Y"	-0.0909371290204082
"1"	"WALKING_DOWNSTAIRS"	"time"	"BodyGyro"	"Z"	0.0900850142030612
"1"	"WALKING_DOWNSTAIRS"	"time"	"BodyGyroJerk"	"Mag"	-0.295463843346939
"1"	"WALKING_DOWNSTAIRS"	"time"	"BodyGyroJerk"	"X"	-0.0739592036271429
"1"	"WALKING_DOWNSTAIRS"	"time"	"BodyGyroJerk"	"Y"	-0.0439902783367347
"1"	"WALKING_DOWNSTAIRS"	"time"	"BodyGyroJerk"	"Z"	-0.0270461061061224
"1"	"WALKING_DOWNSTAIRS"	"time"	"GravityAcc"	"Mag"	0.0271882914106122
"1"	"WALKING_DOWNSTAIRS"	"time"	"GravityAcc"	"X"	0.931874418979592
"1"	"WALKING_DOWNSTAIRS"	"time"	"GravityAcc"	"Y"	-0.266610338979592
"1"	"WALKING_DOWNSTAIRS"	"time"	"GravityAcc"	"Z"	-0.0621199585938775
"1"	"WALKING_DOWNSTAIRS"	"freq"	"BodyAcc"	"Mag"	0.0965845343040816
"1"	"WALKING_DOWNSTAIRS"	"freq"	"BodyAcc"	"X"	0.0382291831510204
