"subject"	"activity"	"domain"	"sensed"	"direction"	"mean_std"
"1"	"LAYING"	"time"	"BodyAcc"	"Mag"	-0.79514486386
"1"	"LAYING"	"time"	"BodyAcc"	"X"	-0.9280564692
"1"	"LAYING"	"time"	"BodyAcc"	"Y"	-0.83682740562
"1"	"LAYING"	"time"	"BodyAcc"	"Z"	-0.826061401628
"1"	"LAYING"	"time"	"BodyAccJerk"	"Mag"	-0.9282456284
"1"	"LAYING"	"time"	"BodyAccJerk"	"X"	-0.958482112
"1"	"LAYING"	"time"	"BodyAccJerk"	"Y"	-0.9241492736
"1"	"LAYING"	"time"	"BodyAccJerk"	"Z"	-0.9548551108
"1"	"LAYING"	"time"	"BodyGyro"	"Mag"	-0.81901016976
"1"	"LAYING"	"time"	"BodyGyro"	"X"	-0.87354386782
"1"	"LAYING"	"time"	"BodyGyro"	"Y"	-0.9510904402
"1"	"LAYING"	"time"	"BodyGyro"	"Z"	-0.9082846626
"1"	"LAYING"	"time"	"BodyGyroJerk"	"Mag"	-0.9358409828
"1"	"LAYING"	"time"	"BodyGyroJerk"	"X"	-0.9186085208
"1"	"LAYING"	"time"	"BodyGyroJerk"	"Y"	-0.9679072436
"1"	"LAYING"	"time"	"BodyGyroJerk"	"Z"	-0.9577901596
"1"	"LAYING"	"time"	"GravityAcc"	"Mag"	-0.79514486386
"1"	"LAYING"	"time"	"GravityAcc"	"X"	-0.8968300184
"1"	"LAYING"	"time"	"GravityAcc"	"Y"	-0.90772000676
"1"	"LAYING"	"time"	"GravityAcc"	"Z"	-0.85236629022
"1"	"LAYING"	"freq"	"BodyAcc"	"Mag"	-0.7983009404
"1"	"LAYING"	"freq"	"BodyAcc"	"X"	-0.9244374346
"1"	"LAYING"	"freq"	"BodyAcc"	"Y"	-0.8336255561
"1"	"LAYING"	"freq"	"BodyAcc"	"Z"	-0.81289155944
"1"	"LAYING"	"freq"	"BodyAccJerk"	"Mag"	-0.9218039756
"1"	"LAYING"	"freq"	"BodyAccJerk"	"X"	-0.9641607086
"1"	"LAYING"	"freq"	"BodyAccJerk"	"Y"	-0.9322178704
"1"	"LAYING"	"freq"	"BodyAccJerk"	"Z"	-0.9605869872
"1"	"LAYING"	"freq"	"BodyGyro"	"Mag"	-0.82431943968
"1"	"LAYING"	"freq"	"BodyGyro"	"X"	-0.8822964508
"1"	"LAYING"	"freq"	"BodyGyro"	"Y"	-0.9512320494
"1"	"LAYING"	"freq"	"BodyGyro"	"Z"	-0.9165825082
"1"	"LAYING"	"freq"	"BodyGyroJerk"	"Mag"	-0.9326606676
"1"	"SITTING"	"time"	"BodyAcc"	"Mag"	-0.927078418723404
"1"	"SITTING"	"time"	"BodyAcc"	"X"	-0.977229008297872
"1"	"SITTING"	"time"	"BodyAcc"	"Y"	-0.922618641914894
"1"	"SITTING"	"time"	"BodyAcc"	"Z"	-0.93958629106383
"1"	"SITTING"	"time"	"BodyAccJerk"	"Mag"	-0.984120024042553
"1"	"SITTING"	"time"	"BodyAccJerk"	"X"	-0.986430711276596
"1"	"SITTING"	"time"	"BodyAccJerk"	"Y"	-0.981371965319149
"1"	"SITTING"	"time"	"BodyAccJerk"	"Z"	-0.987910804468085
"1"	"SITTING"	"time"	"BodyGyro"	"Mag"	-0.934531840425532
"1"	"SITTING"	"time"	"BodyGyro"	"X"	-0.977211283191489
"1"	"SITTING"	"time"	"BodyGyro"	"Y"	-0.966473895319149
"1"	"SITTING"	"time"	"BodyGyro"	"Z"	-0.941425920851064
"1"	"SITTING"	"time"	"BodyGyroJerk"	"Mag"	-0.988308728510638
"1"	"SITTING"	"time"	"BodyGyroJerk"	"X"	-0.99173159212766
"1"	"SITTING"	"time"	"BodyGyroJerk"	"Y"	-0.989518068510638
"1"	"SITTING"	"time"	"BodyGyroJerk"	"Z"	-0.987935806382979
"1"	"SITTING"	"time"	"GravityAcc"	"Mag"	-0.927078418723404
"1"	"SITTING"	"time"	"GravityAcc"	"X"	-0.968457145744681
"1"	"SITTING"	"time"	"GravityAcc"	"Y"	-0.935517055957447
"1"	"SITTING"	"time"	"GravityAcc"	"Z"	-0.949040933191489
"1"	"SITTING"	"freq"	"BodyAcc"	"Mag"	-0.928444801702128
"1"	"SITTING"	"freq"	"BodyAcc"	"X"	-0.976412313191489
"1"	"SITTING"	"freq"	"BodyAcc"	"Y"	-0.917275006382979
"1"	"SITTING"	"freq"	"BodyAcc"	"Z"	-0.934469558085106
"1"	"SITTING"	"freq"	"BodyAccJerk"	"Mag"	-0.981606177446808
"1"	"SITTING"	"freq"	"BodyAccJerk"	"X"	-0.987492994468085
"1"	"SITTING"	"freq"	"BodyAccJerk"	"Y"	-0.982513909574468
"1"	"SITTING"	"freq"	"BodyAccJerk"	"Z"	-0.988339184893617
